WATSON	HOLMES	HOLMES
HOLMES	HOLMES	SHERLOCK HOLMES
HOLMES	WATSON	WATSON
HOLMES	KING	YOUR MAJESTY
KING	HOLMES	MY DEAR SIR
WATSON	KING	YOUR MAJESTY
HOLMES	KING	YOUR MAJESTY
HOLMES	KING	SIR
HOLMES	KING	YOUR MAJESTY
ANNOUNCER	WATSON	DR. WATSON
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	HOLMES	SHERLOCK HOLMES
MANNING	HOLMES	SHERLOCK HOLMES
MANNING	HOLMES	SHERLOCK HOLMES
MANNING	HOLMES	SHERLOCK HOLMES
MANNING	WATSON	DOCTOR WATSON
	WATSON	DOCTOR WATSON
	WATSON	WATSON
WATSON	HOLMES	HOLMES
MANNING	HOLMES	SHERLOCK HOLMES
WATSON	HOLMES	HOLMES
WATSON	HOLMES	HOLMES
WATSON	HOLMES	HOLMES
WATSON	HOLMES	HOLMES
WATSON	HOLMES	HOLMES
HOLMES	WATSON	MY DEAR WATSON
HOLMES	WATSON	MY DEAR WATSON
WATSON	SHERLOCK	MY DEAR SHERLOCK
HOLMES	WATSON	WATSON
MUSGRAVE	HOLMES	HOLMES
MUSGRAVE	HOLMES	MY DEAR FELLOW
MUSGRAVE	HOLMES	MR. HOLMES
ALFRED	MUSGRAVE	SIR
BRUNTON	MUSGRAVE	SIR
BRUNTON	MUSGRAVE	SIR
BRUNTON	MUSGRAVE	SIR
BRUNTON	MUSGRAVE	SIR
HOLMES	MUSGRAVE	MY DEAR FELLOW
MUSGRAVE	HOLMES	HOLMES
MUSGRAVE	HOLMES	HOLMES
MUSGRAVE	HOLMES	HOLMES
MANNING	HOLMES	SHERLOCK HOLMES
MUSGRAVE	HOLMES	HOLMES
MAN	HOLMES	SIR
MAN	MUSGRAVE	SIR
MUSGRAVE	HOLMES	HOLMES
MUSGRAVE	HOLMES	HOLMES
MUSGRAVE	HOLMES	HOLMES
HOLMES	MUSGRAVE	MY DEAR FELLOW
MUSGRAVE	HOLMES	HOLMES
MUSGRAVE	HOLMES	HOLMES
MANNING	WATSON	DOCTOR WATSON
WATSON	HOLMES	HOLMES
MANNING	WATSON	DR. WATSON
MANNING	WATSON	DOCTOR WATSON
WATSON	HOLMES	HOLMES
MANNING	HOLMES	SHERLOCK HOLMES
MANNING	HOLMES	SHERLOCK HOLMES
MANNING	WATSON	DOCTOR WATSON
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	WATSON	DR. WATSON
ANNOUNCER	HOLMES	SHERLOCK HOLMES
ANNOUNCER	WATSON	DR. WATSON
WATSON	HOLMES	SHERLOCK HOLMES
TETFIELD	HOLMES	MR. HOLMES
TETFIELD	HOLMES	MR. HOLMES
TETFIELD	HOLMES	MR. HOLMES
TETFIELD	HOLMES	MR. HOLMES
TETFIELD	WATSON	DR. WATSON
TETFIELD	HOLMES	MR. HOLMES
TETFIELD	HOLMES	MR. HOLMES
TETFIELD	HOLMES	MR. HOLMES
HOLMES	WATSON	WATSON
TETFIELD	HOLMES	MR. HOLMES
WATSON	HOLMES	HOLMES
TETFIELD	HOLMES	MR. HOLMES
HOLMES	WATSON	WATSON
HOLMES	WATSON	OLD CHAP
HOLMES	WATSON	WATSON
COLONEL	HOLMES	MONSIEUR SHERLOCK HOLMES
COLONEL	WATSON	DR. WATSON
COLONEL	HOLMES	SHERLOCK HOLMES
COLONEL	HOLMES	MONSIEUR HOLMES
COLONEL	HOLMES	MONSIEUR HOLMES
HOLMES	WATSON	WATSON
WATSON	HOLMES	HOLMES
HOLMES	WATSON	OLD FELLOW
RAFI	HOLMES	MR. HOLMES
HOLMES	WATSON	OLD CHAP
WATSON	HOLMES	HOLMES
HOLMES	WATSON	WATSON
HOLMES	WATSON	WATSON
HOLMES	WATSON	OLD FELLOW
LEAMING	HOLMES	SHERLOCK HOLMES
LEAMING	WATSON	DR. WATSON
LEAMING	HOLMES	MR. HOLMES
LEAMING	HOLMES	MR. HOLMES
LEAMING	HOLMES	SHERLOCK HOLMES
HOLMES	WATSON	WATSON
HOLMES	WATSON	OLD CHAP
HOLMES	WATSON	WATSON
ANNOUNCER	WATSON	DR. WATSON
	HOLMES	SHERLOCK HOLMES
WATSON	HOLMES	HOLMES
WATSON	HOLMES	HOLMES
HOLMES	WATSON	OLD FELLOW
HOLMES	WATSON	OLD CHAP
